loading testing images...	
05_00001, 0/1(0.000) area: 26.268, gt: 5, answer: 33, prob: 0.6622	
24_00015, 22/103(0.214) area: 22.450, gt: 24, answer: 33, prob: 0.6955	
05_00023, 22/104(0.212) area: 37.148, gt: 5, answer: 33, prob: 0.9375	
17_00015, 23/105(0.219) area: 43.267, gt: 17, answer: 17, prob: 0.9517	
19_00019, 23/106(0.217) area: 42.988, gt: 19, answer: 17, prob: 0.5642	
24_00016, 23/107(0.215) area: 22.627, gt: 24, answer: 33, prob: 0.9291	
05_00024, 23/108(0.213) area: 54.498, gt: 5, answer: 33, prob: 0.3445	
19_00020, 23/109(0.211) area: 49.780, gt: 19, answer: 12, prob: 0.5865	
24_00017, 23/110(0.209) area: 33.985, gt: 24, answer: 15, prob: 0.8341	
25_00013, 23/111(0.207) area: 23.367, gt: 25, answer: 33, prob: 0.5454	
22_00019, 23/112(0.205) area: 31.749, gt: 22, answer: 12, prob: 0.9774	
22_00020, 23/113(0.204) area: 25.923, gt: 22, answer: 12, prob: 0.8947	
22_00021, 23/114(0.202) area: 34.641, gt: 22, answer: 12, prob: 0.6460	
05_00025, 23/115(0.200) area: 39.547, gt: 5, answer: 33, prob: 0.9891	
17_00016, 24/116(0.207) area: 40.000, gt: 17, answer: 17, prob: 0.5431	
19_00021, 24/117(0.205) area: 42.426, gt: 19, answer: 16, prob: 0.6907	
24_00018, 24/118(0.203) area: 26.833, gt: 24, answer: 15, prob: 0.9025	
05_00026, 24/119(0.202) area: 34.598, gt: 5, answer: 33, prob: 0.9612	
17_00017, 25/120(0.208) area: 39.472, gt: 17, answer: 17, prob: 0.9691	
19_00022, 25/121(0.207) area: 38.497, gt: 19, answer: 17, prob: 0.4504	
24_00019, 25/122(0.205) area: 22.249, gt: 24, answer: 15, prob: 0.5953	
05_00027, 25/123(0.203) area: 46.733, gt: 5, answer: 33, prob: 0.4981	
17_00018, 26/124(0.210) area: 56.991, gt: 17, answer: 17, prob: 0.9992	
19_00023, 26/125(0.208) area: 55.920, gt: 19, answer: 17, prob: 0.5336	
24_00020, 26/126(0.206) area: 29.155, gt: 24, answer: 15, prob: 0.9929	
22_00022, 26/127(0.205) area: 34.322, gt: 22, answer: 12, prob: 0.4068	
25_00014, 26/128(0.203) area: 25.456, gt: 25, answer: 2, prob: 0.9191	
22_00023, 26/129(0.202) area: 30.984, gt: 22, answer: 12, prob: 0.8267	
25_00015, 26/130(0.200) area: 25.807, gt: 25, answer: 7, prob: 0.5880	
22_00024, 26/131(0.198) area: 33.823, gt: 22, answer: 12, prob: 0.8911	
17_00019, 26/132(0.197) area: 26.552, gt: 17, answer: 12, prob: 0.6205	
05_00028, 26/133(0.195) area: 33.481, gt: 5, answer: 33, prob: 0.6708	
17_00020, 27/134(0.201) area: 36.000, gt: 17, answer: 17, prob: 0.6567	
19_00024, 28/135(0.207) area: 37.470, gt: 19, answer: 19, prob: 0.2636	
24_00021, 28/136(0.206) area: 22.450, gt: 24, answer: 15, prob: 0.9408	
05_00029, 28/137(0.204) area: 32.311, gt: 5, answer: 33, prob: 0.9545	
17_00021, 29/138(0.210) area: 38.000, gt: 17, answer: 17, prob: 0.9447	
19_00025, 30/139(0.216) area: 36.986, gt: 19, answer: 19, prob: 0.3727	
24_00022, 30/140(0.214) area: 21.024, gt: 24, answer: 15, prob: 0.9648	
05_00030, 30/141(0.213) area: 45.596, gt: 5, answer: 10, prob: 0.4183	
09_00005, 30/142(0.211) area: 26.000, gt: 9, answer: 15, prob: 0.9170	
19_00026, 31/143(0.217) area: 47.958, gt: 19, answer: 19, prob: 0.5048	
24_00023, 31/144(0.215) area: 31.464, gt: 24, answer: 15, prob: 0.9740	
25_00016, 31/145(0.214) area: 38.730, gt: 25, answer: 2, prob: 0.6114	
09_00006, 31/146(0.212) area: 20.199, gt: 9, answer: 15, prob: 0.5749	
22_00025, 31/147(0.211) area: 47.718, gt: 22, answer: 8, prob: 0.8497	
25_00017, 31/148(0.209) area: 26.495, gt: 25, answer: 12, prob: 0.9654	
09_00007, 31/149(0.208) area: 22.517, gt: 9, answer: 15, prob: 0.9486	
22_00026, 31/150(0.207) area: 35.100, gt: 22, answer: 12, prob: 0.9752	
25_00018, 31/151(0.205) area: 28.983, gt: 25, answer: 2, prob: 0.5243	
22_00027, 31/152(0.204) area: 39.825, gt: 22, answer: 12, prob: 0.7362	
05_00031, 31/153(0.203) area: 32.171, gt: 5, answer: 33, prob: 0.8839	
17_00022, 32/154(0.208) area: 45.166, gt: 17, answer: 17, prob: 0.4429	
19_00027, 32/155(0.206) area: 33.675, gt: 19, answer: 18, prob: 0.9663	
05_00032, 32/156(0.205) area: 30.017, gt: 5, answer: 33, prob: 0.7011	
17_00023, 33/157(0.210) area: 32.496, gt: 17, answer: 17, prob: 0.8445	
19_00028, 34/158(0.215) area: 33.466, gt: 19, answer: 19, prob: 0.6834	
24_00024, 34/159(0.214) area: 20.396, gt: 24, answer: 15, prob: 0.8872	
05_00033, 34/160(0.212) area: 30.578, gt: 5, answer: 33, prob: 0.8985	
17_00024, 35/161(0.217) area: 36.469, gt: 17, answer: 17, prob: 0.9660	
19_00029, 36/162(0.222) area: 35.468, gt: 19, answer: 19, prob: 0.6839	
24_00025, 36/163(0.221) area: 21.024, gt: 24, answer: 15, prob: 0.9724	
09_00008, 36/164(0.220) area: 26.000, gt: 9, answer: 15, prob: 0.5145	
25_00019, 36/165(0.218) area: 37.417, gt: 25, answer: 2, prob: 0.5683	
09_00009, 36/166(0.217) area: 22.517, gt: 9, answer: 33, prob: 0.4217	
22_00028, 36/167(0.216) area: 51.235, gt: 22, answer: 12, prob: 0.5401	
25_00020, 36/168(0.214) area: 28.636, gt: 25, answer: 12, prob: 0.5068	
09_00010, 36/169(0.213) area: 29.120, gt: 9, answer: 15, prob: 0.9688	
22_00029, 36/170(0.212) area: 40.311, gt: 22, answer: 12, prob: 0.9194	
25_00021, 36/171(0.211) area: 35.327, gt: 25, answer: 12, prob: 0.7492	
22_00030, 36/172(0.209) area: 50.498, gt: 22, answer: 12, prob: 0.9132	
05_00034, 36/173(0.208) area: 38.262, gt: 5, answer: 33, prob: 0.4118	
17_00025, 37/174(0.213) area: 39.686, gt: 17, answer: 17, prob: 0.7278	
19_00030, 37/175(0.211) area: 44.159, gt: 19, answer: 18, prob: 0.4636	
24_00026, 37/176(0.210) area: 26.192, gt: 24, answer: 15, prob: 0.9658	
05_00035, 37/177(0.209) area: 26.833, gt: 5, answer: 33, prob: 0.8105	
17_00026, 38/178(0.213) area: 29.496, gt: 17, answer: 17, prob: 0.7685	
19_00031, 39/179(0.218) area: 30.496, gt: 19, answer: 19, prob: 0.5950	
24_00027, 39/180(0.217) area: 18.166, gt: 24, answer: 32, prob: 0.7526	
05_00036, 39/181(0.215) area: 28.566, gt: 5, answer: 33, prob: 0.8086	
17_00027, 40/182(0.220) area: 34.409, gt: 17, answer: 17, prob: 0.9829	
19_00032, 41/183(0.224) area: 33.941, gt: 19, answer: 19, prob: 0.4526	
24_00028, 41/184(0.223) area: 19.900, gt: 24, answer: 15, prob: 0.7063	
09_00011, 41/185(0.222) area: 23.367, gt: 9, answer: 15, prob: 0.6598	
25_00022, 41/186(0.220) area: 35.327, gt: 25, answer: 12, prob: 0.9741	
09_00012, 41/187(0.219) area: 23.958, gt: 9, answer: 15, prob: 0.7039	
22_00031, 41/188(0.218) area: 54.663, gt: 22, answer: 12, prob: 0.9633	
25_00023, 41/189(0.217) area: 31.113, gt: 25, answer: 12, prob: 0.9561	
09_00013, 41/190(0.216) area: 39.154, gt: 9, answer: 15, prob: 0.9996	
22_00032, 41/191(0.215) area: 48.857, gt: 22, answer: 12, prob: 0.9903	
25_00024, 41/192(0.214) area: 45.056, gt: 25, answer: 2, prob: 0.8121	
22_00033, 41/193(0.212) area: 67.868, gt: 22, answer: 12, prob: 0.9209	
11_00001, 41/194(0.211) area: 58.915, gt: 11, answer: 33, prob: 0.8909	
11_00002, 41/195(0.210) area: 67.639, gt: 11, answer: 15, prob: 0.7095	
05_00037, 41/196(0.209) area: 31.733, gt: 5, answer: 33, prob: 0.9579	
11_00003, 41/197(0.208) area: 42.849, gt: 11, answer: 33, prob: 0.6510	
17_00028, 42/198(0.212) area: 33.764, gt: 17, answer: 17, prob: 0.9008	
19_00033, 43/199(0.216) area: 36.332, gt: 19, answer: 19, prob: 0.3515	
24_00029, 43/200(0.215) area: 23.367, gt: 24, answer: 15, prob: 0.7492	
05_00038, 43/201(0.214) area: 23.917, gt: 5, answer: 33, prob: 0.8502	
17_00029, 44/202(0.218) area: 27.495, gt: 17, answer: 17, prob: 0.7700	
19_00034, 45/203(0.222) area: 27.982, gt: 19, answer: 19, prob: 0.5357	
05_00039, 45/204(0.221) area: 28.000, gt: 5, answer: 33, prob: 0.5802	
09_00014, 45/205(0.220) area: 24.495, gt: 9, answer: 15, prob: 0.8555	
17_00030, 46/206(0.223) area: 34.409, gt: 17, answer: 17, prob: 0.9830	
19_00035, 47/207(0.227) area: 33.407, gt: 19, answer: 19, prob: 0.5072	
24_00030, 47/208(0.226) area: 19.339, gt: 24, answer: 15, prob: 0.9568	
25_00025, 47/209(0.225) area: 36.332, gt: 25, answer: 12, prob: 0.9998	
22_00034, 47/210(0.224) area: 59.237, gt: 22, answer: 12, prob: 0.8007	
25_00026, 47/211(0.223) area: 34.278, gt: 25, answer: 12, prob: 0.5445	
30_00001, 48/212(0.226) area: 53.666, gt: 30, answer: 30, prob: 0.9849	
09_00015, 48/213(0.225) area: 22.226, gt: 9, answer: 33, prob: 0.3603	
22_00035, 48/214(0.224) area: 58.660, gt: 22, answer: 12, prob: 0.9896	
25_00027, 48/215(0.223) area: 36.742, gt: 25, answer: 12, prob: 0.6344	
22_00036, 48/216(0.222) area: 62.610, gt: 22, answer: 12, prob: 0.9977	
22_00037, 48/217(0.221) area: 31.812, gt: 22, answer: 12, prob: 0.4769	
11_00004, 48/218(0.220) area: 31.225, gt: 11, answer: 33, prob: 0.5408	
05_00040, 49/219(0.224) area: 76.131, gt: 5, answer: 5, prob: 0.9861	
17_00031, 49/220(0.223) area: 38.884, gt: 17, answer: 12, prob: 0.9425	
19_00036, 50/221(0.226) area: 71.302, gt: 19, answer: 19, prob: 0.9465	
24_00031, 50/222(0.225) area: 44.159, gt: 24, answer: 15, prob: 0.9979	
05_00041, 51/223(0.229) area: 51.176, gt: 5, answer: 5, prob: 0.7957	
17_00032, 51/224(0.228) area: 36.373, gt: 17, answer: 18, prob: 0.4343	
19_00037, 52/225(0.231) area: 53.852, gt: 19, answer: 19, prob: 0.8268	
24_00032, 52/226(0.230) area: 31.369, gt: 24, answer: 15, prob: 0.9997	
05_00042, 53/227(0.233) area: 55.588, gt: 5, answer: 5, prob: 0.9301	
17_00033, 53/228(0.232) area: 43.267, gt: 17, answer: 12, prob: 0.7968	
19_00038, 54/229(0.236) area: 64.343, gt: 19, answer: 19, prob: 0.7421	
24_00033, 54/230(0.235) area: 34.957, gt: 24, answer: 15, prob: 0.9999	
22_00038, 54/231(0.234) area: 24.980, gt: 22, answer: 12, prob: 0.9885	
22_00039, 54/232(0.233) area: 23.238, gt: 22, answer: 12, prob: 0.9945	
22_00040, 54/233(0.232) area: 36.414, gt: 22, answer: 12, prob: 0.6579	
05_00043, 54/234(0.231) area: 58.310, gt: 5, answer: 33, prob: 0.6603	
17_00034, 55/235(0.234) area: 56.965, gt: 17, answer: 17, prob: 0.9877	
19_00039, 55/236(0.233) area: 60.399, gt: 19, answer: 12, prob: 0.3689	
24_00034, 55/237(0.232) area: 36.401, gt: 24, answer: 33, prob: 0.5506	
05_00044, 55/238(0.231) area: 46.368, gt: 5, answer: 33, prob: 0.8619	
17_00035, 56/239(0.234) area: 53.666, gt: 17, answer: 17, prob: 0.9935	
19_00040, 56/240(0.233) area: 51.962, gt: 19, answer: 12, prob: 0.6705	
24_00035, 56/241(0.232) area: 29.665, gt: 24, answer: 15, prob: 0.8276	
05_00045, 57/242(0.236) area: 59.749, gt: 5, answer: 5, prob: 0.3770	
17_00036, 58/243(0.239) area: 79.944, gt: 17, answer: 17, prob: 0.9940	
19_00041, 58/244(0.238) area: 71.498, gt: 19, answer: 17, prob: 0.4717	
24_00036, 58/245(0.237) area: 37.815, gt: 24, answer: 33, prob: 0.6737	
22_00041, 58/246(0.236) area: 27.821, gt: 22, answer: 12, prob: 0.9949	
22_00042, 58/247(0.235) area: 25.612, gt: 22, answer: 12, prob: 0.9882	
22_00043, 58/248(0.234) area: 40.657, gt: 22, answer: 12, prob: 0.8133	
05_00046, 59/249(0.237) area: 51.381, gt: 5, answer: 5, prob: 0.5317	
17_00037, 60/250(0.240) area: 51.498, gt: 17, answer: 17, prob: 0.9659	
19_00042, 60/251(0.239) area: 54.387, gt: 19, answer: 16, prob: 0.4537	
24_00037, 60/252(0.238) area: 34.583, gt: 24, answer: 15, prob: 0.9280	
05_00047, 60/253(0.237) area: 43.543, gt: 5, answer: 33, prob: 0.9114	
17_00038, 61/254(0.240) area: 49.910, gt: 17, answer: 17, prob: 0.9978	
19_00043, 62/255(0.243) area: 48.497, gt: 19, answer: 19, prob: 0.3353	
24_00038, 62/256(0.242) area: 28.636, gt: 24, answer: 15, prob: 0.7446	
05_00048, 63/257(0.245) area: 57.131, gt: 5, answer: 5, prob: 0.6024	
17_00039, 64/258(0.248) area: 75.485, gt: 17, answer: 17, prob: 1.0000	
19_00044, 65/259(0.251) area: 67.454, gt: 19, answer: 19, prob: 0.4347	
24_00039, 65/260(0.250) area: 37.630, gt: 24, answer: 15, prob: 0.9668	
22_00044, 65/261(0.249) area: 32.078, gt: 22, answer: 12, prob: 0.9833	
22_00045, 65/262(0.248) area: 28.460, gt: 22, answer: 12, prob: 0.9420	
22_00046, 65/263(0.247) area: 46.669, gt: 22, answer: 12, prob: 0.5954	
05_00049, 65/264(0.246) area: 42.143, gt: 5, answer: 33, prob: 0.9645	
17_00040, 66/265(0.249) area: 44.497, gt: 17, answer: 17, prob: 0.8707	
19_00045, 67/266(0.252) area: 46.433, gt: 19, answer: 19, prob: 0.6018	
24_00040, 67/267(0.251) area: 30.332, gt: 24, answer: 15, prob: 0.9505	
05_00050, 67/268(0.250) area: 39.522, gt: 5, answer: 33, prob: 0.6403	
17_00041, 68/269(0.253) area: 47.000, gt: 17, answer: 17, prob: 0.9994	
19_00046, 69/270(0.256) area: 44.497, gt: 19, answer: 19, prob: 0.5676	
24_00041, 69/271(0.255) area: 27.911, gt: 24, answer: 15, prob: 0.8363	
05_00051, 69/272(0.254) area: 51.575, gt: 5, answer: 33, prob: 0.6932	
19_00047, 70/273(0.256) area: 58.924, gt: 19, answer: 19, prob: 0.9526	
24_00042, 70/274(0.255) area: 41.231, gt: 24, answer: 15, prob: 0.9997	
22_00047, 70/275(0.255) area: 36.661, gt: 22, answer: 12, prob: 0.9023	
22_00048, 70/276(0.254) area: 33.045, gt: 22, answer: 12, prob: 0.9513	
22_00049, 70/277(0.253) area: 56.214, gt: 22, answer: 12, prob: 0.7795	
05_00052, 70/278(0.252) area: 46.454, gt: 5, answer: 33, prob: 0.8879	
17_00042, 71/279(0.254) area: 53.666, gt: 17, answer: 17, prob: 0.9900	
19_00048, 71/280(0.254) area: 41.413, gt: 19, answer: 18, prob: 0.8544	
05_00053, 71/281(0.253) area: 35.777, gt: 5, answer: 33, prob: 0.7471	
17_00043, 72/282(0.255) area: 38.987, gt: 17, answer: 17, prob: 0.9949	
19_00049, 72/283(0.254) area: 39.472, gt: 19, answer: 16, prob: 0.5618	
24_00043, 72/284(0.254) area: 24.799, gt: 24, answer: 15, prob: 0.7090	
05_00054, 72/285(0.253) area: 37.789, gt: 5, answer: 33, prob: 0.5713	
17_00044, 73/286(0.255) area: 45.957, gt: 17, answer: 17, prob: 0.9953	
19_00050, 74/287(0.258) area: 43.989, gt: 19, answer: 19, prob: 0.6793	
24_00044, 74/288(0.257) area: 27.495, gt: 24, answer: 15, prob: 0.9898	
25_00028, 74/289(0.256) area: 33.941, gt: 25, answer: 7, prob: 0.4707	
22_00050, 74/290(0.255) area: 40.792, gt: 22, answer: 12, prob: 0.9560	
25_00029, 74/291(0.254) area: 32.879, gt: 25, answer: 12, prob: 0.5166	
22_00051, 74/292(0.253) area: 39.370, gt: 22, answer: 12, prob: 0.9460	
25_00030, 74/293(0.253) area: 41.569, gt: 25, answer: 2, prob: 0.6877	
11_00005, 74/294(0.252) area: 45.475, gt: 11, answer: 33, prob: 0.9808	
11_00006, 74/295(0.251) area: 78.384, gt: 11, answer: 33, prob: 0.9620	
05_00055, 74/296(0.250) area: 41.533, gt: 5, answer: 33, prob: 0.9863	
17_00045, 75/297(0.253) area: 44.721, gt: 17, answer: 17, prob: 0.9684	
19_00051, 75/298(0.252) area: 48.187, gt: 19, answer: 16, prob: 0.5220	
24_00045, 75/299(0.251) area: 29.665, gt: 24, answer: 15, prob: 0.9061	
05_00056, 75/300(0.250) area: 31.129, gt: 5, answer: 33, prob: 0.9852	
17_00046, 76/301(0.252) area: 34.986, gt: 17, answer: 17, prob: 0.7817	
19_00052, 77/302(0.255) area: 35.468, gt: 19, answer: 19, prob: 0.4855	
24_00046, 77/303(0.254) area: 21.633, gt: 24, answer: 15, prob: 0.4012	
05_00057, 77/304(0.253) area: 36.373, gt: 5, answer: 33, prob: 0.8841	
17_00047, 78/305(0.256) area: 43.898, gt: 17, answer: 17, prob: 1.0000	
19_00053, 79/306(0.258) area: 42.426, gt: 19, answer: 19, prob: 0.4828	
24_00047, 79/307(0.257) area: 24.536, gt: 24, answer: 15, prob: 0.6341	
09_00016, 79/308(0.256) area: 35.679, gt: 9, answer: 1, prob: 0.4404	
25_00031, 79/309(0.256) area: 51.118, gt: 25, answer: 2, prob: 0.5658	
09_00017, 79/310(0.255) area: 27.964, gt: 9, answer: 33, prob: 0.4453	
25_00032, 79/311(0.254) area: 35.665, gt: 25, answer: 2, prob: 0.7838	
09_00018, 79/312(0.253) area: 35.412, gt: 9, answer: 33, prob: 0.5981	
22_00052, 79/313(0.252) area: 47.749, gt: 22, answer: 12, prob: 0.9526	
25_00033, 79/314(0.252) area: 40.657, gt: 25, answer: 2, prob: 0.7012	
22_00053, 79/315(0.251) area: 49.173, gt: 22, answer: 12, prob: 0.8388	
11_00007, 79/316(0.250) area: 65.452, gt: 11, answer: 33, prob: 0.9583	
11_00008, 79/317(0.249) area: 82.976, gt: 11, answer: 10, prob: 0.6265	
11_00009, 79/318(0.248) area: 80.796, gt: 11, answer: 10, prob: 0.5032	
05_00058, 79/319(0.248) area: 35.496, gt: 5, answer: 33, prob: 0.8933	
17_00048, 80/320(0.250) area: 38.794, gt: 17, answer: 17, prob: 0.9995	
19_00054, 80/321(0.249) area: 41.352, gt: 19, answer: 16, prob: 0.6610	
24_00048, 80/322(0.248) area: 25.923, gt: 24, answer: 15, prob: 0.7916	
05_00059, 80/323(0.248) area: 27.928, gt: 5, answer: 33, prob: 0.7947	
17_00049, 81/324(0.250) area: 31.984, gt: 17, answer: 17, prob: 0.9358	
